Ind,Province
21HNWC2YW0118,Xinjiang
21HNSY11YW0543,Yunnan
20NB23MAYYW2795,Heilongjiang
20NB14JUNYW2900,Shandong
21HNLS3YW0465,Xinjiang
21NBJUNYW1186,Yunnan
20NB22MAYYW2789,Heilongjiang
20QDYW0368,Shandong
20WDYW1330,Xinjiang
20NB17MAYYW2775,Yunnan
20SHYW0158,Heilongjiang
21NBMAYYW2651,Shandong
20NB35JUNYW2908,Xinjiang
M19SYYW1343,Yunnan
19GDYW2123,Heilongjiang
20LKYW1489,Shandong
19MHDMCLYW1664,Xinjiang
21HNQH6YW0307,Yunnan
21HNSY8YW0761,Heilongjiang
21HNDZ8YW1003,Shandong
20SYYW0609,Xinjiang
21HNWC2YW0110,Yunnan
21HNSY1YW0664,Heilongjiang
19SCYW0838,Shandong
21HNDZ1YW0874,Xinjiang
19JHSYW1770,Yunnan
20NB04JUNYW2904,Heilongjiang
21HNSY18YW0830,Shandong
21HNWZS2YW1015,Xinjiang
21HNLS1YW0428,Yunnan
20NB42JULYW2973,Heilongjiang
19SCYW0839,Shandong
21HNQH4YW0268,Xinjiang
19MHDMCLYW1663,Yunnan
19GDYW2118,Heilongjiang
19NBYW2078,Shandong
20NB14SEPYW3017,Xinjiang
20SDLCYW1797,Yunnan
21HNWZS2YW1019,Heilongjiang
21HNQH2YW0222,Shandong
21HNSY11YW0542,Xinjiang
21HNLS3YW0460,Yunnan
21HNWN1YW0353,Heilongjiang
21HNSY1YW0668,Shandong
20NB77SEPYW3015,Xinjiang
21NB74JULYW4313,Yunnan
21HNQZ6YW1148,Heilongjiang
20NB49JULYW2976,Shandong
21HNSY1YW0662,Xinjiang
20SYYW0602,Yunnan